Date,24 High (USD)
2009-01-03,0
2009-01-05,0
2009-01-07,0
2009-01-09,0
2009-01-11,0
2009-01-13,0
2009-01-15,0
2009-01-17,0
2009-01-19,0
2009-01-21,0
2009-01-23,0
2009-01-25,0
2009-01-27,0
2009-01-29,0
2009-01-31,0
2009-02-02,0
2009-02-04,0
2009-02-06,0
2009-02-08,0
2009-02-10,0
2009-02-12,0
2009-02-14,0
2009-02-16,0
2009-02-18,0
2009-02-20,0
2009-02-22,0
2009-02-24,0
2009-02-26,0
2009-02-28,0
2009-03-02,0
2009-03-04,0
2009-03-06,0
2009-03-08,0
2009-03-10,0
2009-03-12,0
2009-03-14,0
2009-03-16,0
2009-03-18,0
2009-03-20,0
2009-03-22,0
2009-03-24,0
2009-03-26,0
2009-03-28,0
2009-03-30,0
2009-04-01,0
2009-04-03,0
2009-04-05,0
2009-04-07,0
2009-04-09,0
2009-04-11,0
2009-04-13,0
2009-04-15,0
2009-04-17,0
2009-04-19,0
2009-04-21,0
2009-04-23,0
2009-04-25,0
2009-04-27,0
2009-04-29,0
2009-05-01,0
2009-05-03,0
2009-05-05,0
2009-05-07,0
2009-05-09,0
2009-05-11,0
2009-05-13,0
2009-05-15,0
2009-05-17,0
2009-05-19,0
2009-05-21,0
2009-05-23,0
2009-05-25,0
2009-05-27,0
2009-05-29,0
2009-05-31,0
2009-06-02,0
2009-06-04,0
2009-06-06,0
2009-06-08,0
2009-06-10,0
2009-06-12,0
2009-06-14,0
2009-06-16,0
2009-06-18,0
2009-06-20,0
2009-06-22,0
2009-06-24,0
2009-06-26,0
2009-06-28,0
2009-06-30,0
2009-07-02,0
2009-07-04,0
2009-07-06,0
2009-07-08,0
2009-07-10,0
2009-07-12,0
2009-07-14,0
2009-07-16,0
2009-07-18,0
2009-07-20,0
2009-07-22,0
2009-07-24,0
2009-07-26,0
2009-07-28,0
2009-07-30,0
2009-08-01,0
2009-08-03,0
2009-08-05,0
2009-08-07,0
2009-08-09,0
2009-08-11,0
2009-08-13,0
2009-08-15,0
2009-08-17,0
2009-08-19,0
2009-08-21,0
2009-08-23,0
2009-08-25,0
2009-08-27,0
2009-08-29,0
2009-08-31,0
2009-09-02,0
2009-09-04,0
2009-09-06,0
2009-09-08,0
2009-09-10,0
2009-09-12,0
2009-09-14,0
2009-09-16,0
2009-09-18,0
2009-09-20,0
2009-09-22,0
2009-09-24,0
2009-09-26,0
2009-09-28,0
2009-09-30,0
2009-10-02,0
2009-10-04,0
2009-10-06,0
2009-10-08,0
2009-10-10,0
2009-10-12,0
2009-10-14,0
2009-10-16,0
2009-10-18,0
2009-10-20,0
2009-10-22,0
2009-10-24,0
2009-10-26,0
2009-10-28,0
2009-10-30,0
2009-11-01,0
2009-11-03,0
2009-11-05,0
2009-11-07,0
2009-11-09,0
2009-11-11,0
2009-11-13,0
2009-11-15,0
2009-11-17,0
2009-11-19,0
2009-11-21,0
2009-11-23,0
2009-11-25,0
2009-11-27,0
2009-11-29,0
2009-12-01,0
2009-12-03,0
2009-12-05,0
2009-12-07,0
2009-12-09,0
2009-12-11,0
2009-12-13,0
2009-12-15,0
2009-12-17,0
2009-12-19,0
2009-12-21,0
2009-12-23,0
2009-12-25,0
2009-12-27,0
2009-12-29,0
2009-12-31,0
2010-01-02,0
2010-01-04,0
2010-01-06,0
2010-01-08,0
2010-01-10,0
2010-01-12,0
2010-01-14,0
2010-01-16,0
2010-01-18,0
2010-01-20,0
2010-01-22,0
2010-01-24,0
2010-01-26,0
2010-01-28,0
2010-01-30,0
2010-02-01,0
2010-02-03,0
2010-02-05,0
2010-02-07,0
2010-02-09,0
2010-02-11,0
2010-02-13,0
2010-02-15,0
2010-02-17,0
2010-02-19,0
2010-02-21,0
2010-02-23,0
2010-02-25,0
2010-02-27,0
2010-03-01,0
2010-03-03,0
2010-03-05,0
2010-03-07,0
2010-03-09,0
2010-03-11,0
2010-03-13,0
2010-03-15,0
2010-03-17,0
2010-03-19,0
2010-03-21,0
2010-03-23,0
2010-03-25,0
2010-03-27,0
2010-03-29,0
2010-03-31,0
2010-04-02,0
2010-04-04,0
2010-04-06,0
2010-04-08,0
2010-04-10,0
2010-04-12,0
2010-04-14,0
2010-04-16,0
2010-04-18,0
2010-04-20,0
2010-04-22,0
2010-04-24,0
2010-04-26,0
2010-04-28,0
2010-04-30,0
2010-05-02,0
2010-05-04,0
2010-05-06,0
2010-05-08,0
2010-05-10,0
2010-05-12,0
2010-05-14,0
2010-05-16,0
2010-05-18,0
2010-05-20,0
2010-05-22,0
2010-05-24,0
2010-05-26,0
2010-05-28,0
2010-05-30,0
2010-06-01,0
2010-06-03,0
2010-06-05,0
2010-06-07,0
2010-06-09,0
2010-06-11,0
2010-06-13,0
2010-06-15,0
2010-06-17,0
2010-06-19,0
2010-06-21,0
2010-06-23,0
2010-06-25,0
2010-06-27,0
2010-06-29,0
2010-07-01,0
2010-07-03,0
2010-07-05,0
2010-07-07,0
2010-07-09,0
2010-07-11,0
2010-07-13,0
2010-07-15,0
2010-07-17,0
2010-07-19,0
2010-07-21,0
2010-07-23,0
2010-07-25,0
2010-07-27,0
2010-07-29,0
2010-07-31,0
2010-08-02,0
2010-08-04,0
2010-08-06,0
2010-08-08,0
2010-08-10,0
2010-08-12,0
2010-08-14,0
2010-08-16,0
2010-08-18,0.074
2010-08-20,0.0667
2010-08-22,0.0664
2010-08-24,0.066889
2010-08-26,0.066499
2010-08-28,0.065
2010-08-30,0.069
2010-09-01,0.0649
2010-09-03,0.0634
2010-09-05,0.0629
2010-09-07,0.06185
2010-09-09,0.0624
2010-09-11,0.062
2010-09-13,0.06201
2010-09-15,0.175
2010-09-17,0.0609
2010-09-19,0.062599
2010-09-21,0.0633
2010-09-23,0.063
2010-09-25,0.0624
2010-09-27,0.062206
2010-09-29,0.06219
2010-10-01,0.061999
2010-10-03,0.0614
2010-10-05,0.06301
2010-10-07,0.0638
2010-10-09,0.12001
2010-10-11,0.1301
2010-10-13,0.095
2010-10-15,0.119
2010-10-17,0.1045
2010-10-19,0.1024
2010-10-21,0.109
2010-10-23,0.10901
2010-10-25,0.15
2010-10-27,0.19
2010-10-29,0.191
2010-10-31,0.199
2010-11-02,0.1955
2010-11-04,0.23601
2010-11-06,0.29
2010-11-08,0.37
2010-11-10,0.2667
2010-11-12,0.251
2010-11-14,0.299
2010-11-16,0.2827
2010-11-18,0.289999
2010-11-20,0.289
2010-11-22,0.282
2010-11-24,0.28299
2010-11-26,0.289
2010-11-28,0.28461
2010-11-30,0.275
2010-12-02,0.25
2010-12-04,0.2589
2010-12-06,0.225
2010-12-08,0.2477
2010-12-10,0.204
2010-12-12,0.228
2010-12-14,0.23
2010-12-16,0.2459
2010-12-18,0.249
2010-12-20,0.275
2010-12-22,0.267
2010-12-24,0.25
2010-12-26,0.269999
2010-12-28,0.28
2010-12-30,0.299999
2011-01-01,0.299998
2011-01-03,0.299998
2011-01-05,0.298998
2011-01-07,0.322
2011-01-09,0.322998
2011-01-11,0.329
2011-01-13,0.405
2011-01-15,0.4
2011-01-17,0.4
2011-01-19,0.3401
2011-01-21,0.44
2011-01-23,0.4443
2011-01-25,0.425
2011-01-27,0.4174
2011-01-29,0.446
2011-01-31,0.5
2011-02-02,0.840099
2011-02-04,0.88
2011-02-06,0.92
2011-02-08,0.9
2011-02-10,1.1
2011-02-12,1.0899
2011-02-14,1.08
2011-02-16,1.05019
2011-02-18,1.05019
2011-02-20,0.954896
2011-02-22,0.869499
2011-02-24,0.9499
2011-02-26,0.988567
2011-02-28,0.949231
2011-03-02,0.9498
2011-03-04,0.9392
2011-03-06,0.910445
2011-03-08,0.9072
2011-03-10,0.87
2011-03-12,0.9197
2011-03-14,0.9
2011-03-16,0.89
2011-03-18,0.850617
2011-03-20,0.79
2011-03-22,0.799646
2011-03-24,0.9
2011-03-26,0.905
2011-03-28,0.8575
2011-03-30,0.795
2011-04-01,0.79997
2011-04-03,0.7998
2011-04-05,0.71
2011-04-07,0.7677
2011-04-09,0.7676
2011-04-11,0.781
2011-04-13,1
2011-04-15,1.08999
2011-04-17,1.085
2011-04-19,1.19
2011-04-21,1.1979
2011-04-23,1.549
2011-04-25,1.701
2011-04-27,1.95
2011-04-29,2.7
2011-05-01,4.09
2011-05-03,3.49
2011-05-05,3.5
2011-05-07,3.7
2011-05-09,3.937
2011-05-11,6.065
2011-05-13,8.45
2011-05-15,8.55
2011-05-17,8.38901
2011-05-19,7.34
2011-05-21,6.6036
2011-05-23,7.45
2011-05-25,7.51
2011-05-27,8.92
2011-05-29,8.4992
2011-05-31,9.4998
2011-06-02,10.57
2011-06-04,17.41
2011-06-06,19.23
2011-06-08,31.9099
