date,24 High (USD)
2009 Jan 3,0
2009 Jan 5,0
2009 Jan 7,0
2009 Jan 9,0
2009 Jan 11,0
2009 Jan 13,0
2009 Jan 15,0
2009 Jan 17,0
2009 Jan 19,0
2009 Jan 21,0
2009 Jan 23,0
2009 Jan 25,0
2009 Jan 27,0
2009 Jan 29,0
2009 Jan 31,0
2009 Feb 2,0
2009 Feb 4,0
2009 Feb 6,0
2009 Feb 8,0
2009 Feb 10,0
2009 Feb 12,0
2009 Feb 14,0
2009 Feb 16,0
2009 Feb 18,0
2009 Feb 20,0
2009 Feb 22,0
2009 Feb 24,0
2009 Feb 26,0
2009 Feb 28,0
2009 Mar 2,0
2009 Mar 4,0
2009 Mar 6,0
2009 Mar 8,0
2009 Mar 10,0
2009 Mar 12,0
2009 Mar 14,0
2009 Mar 16,0
2009 Mar 18,0
2009 Mar 20,0
2009 Mar 22,0
2009 Mar 24,0
2009 Mar 26,0
2009 Mar 28,0
2009 Mar 30,0
2009 Apr 1,0
2009 Apr 3,0
2009 Apr 5,0
2009 Apr 7,0
2009 Apr 9,0
2009 Apr 11,0
2009 Apr 13,0
2009 Apr 15,0
2009 Apr 17,0
2009 Apr 19,0
2009 Apr 21,0
2009 Apr 23,0
2009 Apr 25,0
2009 Apr 27,0
2009 Apr 29,0
2009 May 1,0
2009 May 3,0
2009 May 5,0
2009 May 7,0
2009 May 9,0
2009 May 11,0
2009 May 13,0
2009 May 15,0
2009 May 17,0
2009 May 19,0
2009 May 21,0
2009 May 23,0
2009 May 25,0
2009 May 27,0
2009 May 29,0
2009 May 31,0
2009 Jun 2,0
2009 Jun 4,0
2009 Jun 6,0
2009 Jun 8,0
2009 Jun 10,0
2009 Jun 12,0
2009 Jun 14,0
2009 Jun 16,0
2009 Jun 18,0
2009 Jun 20,0
2009 Jun 22,0
2009 Jun 24,0
2009 Jun 26,0
2009 Jun 28,0
2009 Jun 30,0
2009 Jul 2,0
2009 Jul 4,0
2009 Jul 6,0
2009 Jul 8,0
2009 Jul 10,0
2009 Jul 12,0
2009 Jul 14,0
2009 Jul 16,0
2009 Jul 18,0
2009 Jul 20,0
2009 Jul 22,0
2009 Jul 24,0
2009 Jul 26,0
2009 Jul 28,0
2009 Jul 30,0
2009 Aug 1,0
2009 Aug 3,0
2009 Aug 5,0
2009 Aug 7,0
2009 Aug 9,0
2009 Aug 11,0
2009 Aug 13,0
2009 Aug 15,0
2009 Aug 17,0
2009 Aug 19,0
2009 Aug 21,0
2009 Aug 23,0
2009 Aug 25,0
2009 Aug 27,0
2009 Aug 29,0
2009 Aug 31,0
2009 Sep 2,0
2009 Sep 4,0
2009 Sep 6,0
2009 Sep 8,0
2009 Sep 10,0
2009 Sep 12,0
2009 Sep 14,0
2009 Sep 16,0
2009 Sep 18,0
2009 Sep 20,0
2009 Sep 22,0
2009 Sep 24,0
2009 Sep 26,0
2009 Sep 28,0
2009 Sep 30,0
2009 Oct 2,0
2009 Oct 4,0
2009 Oct 6,0
2009 Oct 8,0
2009 Oct 10,0
2009 Oct 12,0
2009 Oct 14,0
2009 Oct 16,0
2009 Oct 18,0
2009 Oct 20,0
2009 Oct 22,0
2009 Oct 24,0
2009 Oct 26,0
2009 Oct 28,0
2009 Oct 30,0
2009 Nov 1,0
2009 Nov 3,0
2009 Nov 5,0
2009 Nov 7,0
2009 Nov 9,0
2009 Nov 11,0
2009 Nov 13,0
