date,price
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.74e-1
2010-09-01,0.175e0
2010-10-01,0.199e0
2010-11-01,0.37e0
2010-12-01,0.299999e0
2011-01-01,0.5e0
2011-02-01,0.11e1
2011-03-01,0.9498e0
2011-04-01,0.27e1
2011-05-01,0.94998e1
2011-06-01,0.35e2
2011-07-01,0.165e2
2011-08-01,0.135501e2
2011-09-01,0.85939999988e1
2011-10-01,0.516e1
2011-11-01,0.335e1
2011-12-01,0.4995e1
2012-01-01,0.722e1
2012-02-01,0.6148e1
2012-03-01,0.54444e1
2012-04-01,0.548e1
2012-05-01,0.519e1
2012-06-01,0.679962e1
2012-07-01,0.939899e1
2012-08-01,0.154e2
2012-09-01,0.1268666e2
2012-10-01,0.130899e2
2012-11-01,0.126e2
2012-12-01,0.1379989e2
2013-01-01,0.197e2
2013-02-01,0.3140181e2
2013-03-01,0.9250001e2
2013-04-01,0.198e3
2013-05-01,0.13404701e3
2013-06-01,0.12919945e3
2013-07-01,0.10495555e3
2013-08-01,0.12479e3
2013-09-01,0.13082e3
2013-10-01,0.20234333e3
2013-11-01,0.115749894e4
2013-12-01,0.115602831e4
2014-01-01,0.102316666e4
2014-02-01,0.88243124e3
2014-03-01,0.69805e3
2014-04-01,0.54331749e3
2014-05-01,0.62250666e3
2014-06-01,0.67660333e3
2014-07-01,0.65476874e3
2014-08-01,0.601835e3
2014-09-01,0.50254375e3
2014-10-01,0.40973375e3
2014-11-01,0.45805166e3
2014-12-01,0.383719e3
2015-01-01,0.319559e3
2015-02-01,0.26734908e3
2015-03-01,0.30034e3
2015-04-01,0.2611468e3
2015-05-01,0.2477286e3
2015-06-01,0.259242e3
2015-07-01,0.31377387e3
2015-08-01,0.28699866e3
2015-09-01,0.24583491e3
2015-10-01,0.3337465e3
2015-11-01,0.49240458e3
2015-12-01,0.470883e3
2016-01-01,0.463954e3
2016-02-01,0.44829e3
2016-03-01,0.441655e3
2016-04-01,0.47016099e3
2016-05-01,0.545764e3
2016-06-01,0.781309e3
2016-07-01,0.704423e3
2016-08-01,0.63938199e3
2016-09-01,0.62874875e3
2016-10-01,0.71873375e3
2016-11-01,0.75454625e3
2016-12-01,0.98286875e3
2017-01-01,0.115302e4
2017-02-01,0.1210156e4
2017-03-01,0.132581299e4
2017-04-01,0.13435925e4
2017-05-01,0.2791695e4
2017-06-01,0.304135833e4
2017-07-01,0.294636e4
2017-08-01,0.47075525e4
2017-09-01,0.50139075e4
2017-10-01,0.63065775e4
2017-11-01,0.1137733375e5
2017-12-01,0.1978320625e5
2018-01-01,0.1721192375e5
2018-02-01,0.117675775e5
2018-03-01,0.116602425e5
2018-04-01,0.974681749e4
2018-05-01,0.995495375e4
2018-06-01,0.77748292847221e4
2018-07-01,0.84860116795769e4
2018-08-01,0.77518776504108e4
2018-09-01,0.74176670369068e4
2018-10-01,0.75865246341774e4
2018-11-01,0.6553951931748e4
2018-12-01,0.42559540212471e4
2019-01-01,0.40963830349478e4
2019-02-01,0.41786586138045e4
2019-03-01,0.41284151017141e4
2019-04-01,0.56224818679657e4
2019-05-01,0.90841499973709e4
2019-06-01,0.138792377057928e5
2019-07-01,0.131756877367065e5
2019-08-01,0.12314107664862e5
2019-09-01,0.109283438130991e5
2019-10-01,0.103324095068033e5
2019-11-01,0.95261651953663e4
2019-12-01,0.77679087248467e4
2020-01-01,0.96332510350153e4
2020-02-01,0.105980301607446e5
2020-03-01,0.92046723591899e4
2020-04-01,0.94690784232378e4
2020-05-01,0.100627159146252e5
2020-06-01,0.103577891656244e5
2020-07-01,0.114679505883319e5
2020-08-01,0.124766970382192e5
2020-09-01,0.120702274056138e5
2020-10-01,0.140930529474286e5
2020-11-01,0.198501144867831e5
2020-12-01,0.292800453282743e5
2021-01-01,0.419623621250156e5
2021-02-01,0.583323646162063e5
2021-03-01,0.615565944921945e5
2021-04-01,0.64801787869525e5
2021-05-01,0.595754631145794e5
2021-06-01,0.413166024977708e5

